question,answer
What time is ham open?,ham
what time will hamilton center open?,ham
When does ham open?,ham
What are the ceo hours?,ceo
Will hamilton center be open soon?,ham
When does ham close?,ham
why isn't ham open,ham
doesnt wrc open soon?,ham
does ham not open soon?,ham
What are the wrc hours?,ham
where is the library located?,library
where is ham located?,ham
where can i find ham?,ham
is the hamilton center the same location as the cafe?,ham
what does wrc stand for?,wrc
what does ham mean?,ham
what does ssc stand for?,ssc
what is the ra phone number?,ra
what is the campus police number?,campus_police
what is the metz menu?,ham
when does the library close?,library
Where can I find the academic calendar?,aca_cal
Where are 5 most common places people want to go to?,location
Cafeteria menu url access.,ham
What does sca mean?,sca
What is a sca?,sca
How do I register for classes?,registration
Where is X professor located,professor
What are X professors office hours?,professor
How do I request maintenance?,maintenance
WHat is the name of this school,ncf
What is your name?,four_winds_bot
how do i get the laundry machine fixed?,maintenance
how to get maintence done?,maintenance
what are you called?,four_winds_bot
what is the number for the library?,library
where is the campus police station,campus_police
what is the nook,location
what is the banyan?,location
where is the wrc?,wrc
when is the wrc open?,wrc
can i enter the library now?,library
what does jane bancroft mean?,library
where is dr. roy located?,professor
where is dr. hamid located?,professor
where is dr. page located?,professor
Where can i find X professor?,professor
How do i submit a maintenence form?,maintenance
where is the campus police?,campus_police




